2020-01-12 12:33:38.5529||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop CountersAggregator:b33a175a has started in 52.8094 ms |url: |action: 
2020-01-12 12:33:38.5529||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop Worker:20cd238f has started in 52.7204 ms |url: |action: 
2020-01-12 12:33:38.5529||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop Worker:7e0727b1 has started in 52.8169 ms |url: |action: 
2020-01-12 12:33:38.5529||Hangfire.Server.BackgroundServerProcess|INFO|  Server e397f3a6-cd61-41dc-ac38-a7ec1158a227 all the dispatchers started |url: |action: 
2020-01-12 12:33:38.5529||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop DelayedJobScheduler:eb36fa58 has started in 50.5438 ms |url: |action: 
2020-01-12 12:33:38.5558||Hangfire.Processing.BackgroundExecution|DEBUG|  Execution loop RecurringJobScheduler:542eb12d has started in 3.2758 ms |url: |action: 
2020-01-12 12:33:38.5581||Hangfire.SqlServer.CountersAggregator|DEBUG|  Aggregating records in 'Counter' table... |url: |action: 
2020-01-12 12:33:38.5587||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:33:38.5587||Hangfire.SqlServer.ExpirationManager|DEBUG|  Removing outdated records from the 'AggregatedCounter' table... |url: |action: 
2020-01-12 12:33:38.5587||Hangfire.Server.ServerHeartbeatProcess|TRACE|  Server e397f3a6-cd61-41dc-ac38-a7ec1158a227 waiting for 00:01:00 delay before sending a heartbeat |url: |action: 
2020-01-12 12:33:38.5622||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:33:38.5681||Hangfire.SqlServer.CountersAggregator|TRACE|  Records from the 'Counter' table aggregated. |url: |action: 
2020-01-12 12:33:38.6221||Hangfire.Server.ServerWatchdog|INFO|  2 servers were removed due to timeout |url: |action: 
2020-01-12 12:33:38.6522||Hangfire.SqlServer.ExpirationManager|TRACE|  Outdated records removed from the 'AggregatedCounter' table. |url: |action: 
2020-01-12 12:33:38.6527||Hangfire.SqlServer.ExpirationManager|DEBUG|  Removing outdated records from the 'Job' table... |url: |action: 
2020-01-12 12:33:38.6591||Hangfire.SqlServer.ExpirationManager|TRACE|  Outdated records removed from the 'Job' table. |url: |action: 
2020-01-12 12:33:38.6604||Hangfire.SqlServer.ExpirationManager|DEBUG|  Removing outdated records from the 'List' table... |url: |action: 
2020-01-12 12:33:38.6689||Hangfire.SqlServer.ExpirationManager|TRACE|  Outdated records removed from the 'List' table. |url: |action: 
2020-01-12 12:33:38.6689||Hangfire.SqlServer.ExpirationManager|DEBUG|  Removing outdated records from the 'Set' table... |url: |action: 
2020-01-12 12:33:38.6773||Hangfire.SqlServer.ExpirationManager|TRACE|  Outdated records removed from the 'Set' table. |url: |action: 
2020-01-12 12:33:38.6778||Hangfire.SqlServer.ExpirationManager|DEBUG|  Removing outdated records from the 'Hash' table... |url: |action: 
2020-01-12 12:33:38.6818||Hangfire.SqlServer.ExpirationManager|TRACE|  Outdated records removed from the 'Hash' table. |url: |action: 
2020-01-12 12:33:38.8483||Hangfire.Server.RecurringJobScheduler|DEBUG|  1 recurring job(s) enqueued. |url: |action: 
2020-01-12 12:33:38.8876||TraceContext|INFO|  Entering Processing ladder |url: |action: 
2020-01-12 12:33:38.9257||LadderService|INFO|  Entering CheckAndCreateMatches |url: |action: 
2020-01-12 12:33:39.7053||Job|INFO|  Processing timeouts |url: |action: 
2020-01-12 12:33:39.7101||LadderService|DEBUG|  Checking ladder dc1f331a-b842-424e-b7e9-15e5bad3d482 Default |url: |action: 
2020-01-12 12:33:39.7109||TraceContext|INFO|  Leaving Processing ladder |url: |action: 
2020-01-12 12:33:43.5635||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:33:43.5638||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:33:48.5650||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:33:48.5650||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:33:53.5670||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:33:53.5674||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:33:58.5681||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:33:58.5690||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:03.5700||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:03.5709||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:08.5717||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:08.5726||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:08.9618||TraceContext|INFO|  Entering Processing ladder |url: |action: 
2020-01-12 12:34:08.9618||LadderService|INFO|  Entering CheckAndCreateMatches |url: |action: 
2020-01-12 12:34:08.9618||Hangfire.Server.RecurringJobScheduler|DEBUG|  1 recurring job(s) enqueued. |url: |action: 
2020-01-12 12:34:08.9654||LadderService|DEBUG|  Checking ladder dc1f331a-b842-424e-b7e9-15e5bad3d482 Default |url: |action: 
2020-01-12 12:34:08.9657||TraceContext|INFO|  Leaving Processing ladder |url: |action: 
2020-01-12 12:34:09.0045||Job|INFO|  Processing timeouts |url: |action: 
2020-01-12 12:34:13.5746||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:13.5755||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:18.5774||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:18.5783||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:23.5791||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:23.5791||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:28.5810||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:28.5827||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:33.5840||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:33.5848||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:38.5727||Hangfire.Server.ServerHeartbeatProcess|DEBUG|  Server e397f3a6-cd61-41dc-ac38-a7ec1158a227 heartbeat successfully sent |url: |action: 
2020-01-12 12:34:38.5727||Hangfire.Server.ServerHeartbeatProcess|TRACE|  Server e397f3a6-cd61-41dc-ac38-a7ec1158a227 waiting for 00:01:00 delay before sending a heartbeat |url: |action: 
2020-01-12 12:34:38.5858||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:38.5858||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:39.0008||Hangfire.Server.RecurringJobScheduler|DEBUG|  1 recurring job(s) enqueued. |url: |action: 
2020-01-12 12:34:43.5875||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:43.5887||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:48.5898||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:48.5898||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:53.5907||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:53.5910||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:34:58.5992||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:34:58.5992||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:35:03.6004||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:35:03.6013||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:35:08.6026||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  Checking for aborted jobs... |url: |action: 
2020-01-12 12:35:08.6026||Hangfire.Server.ServerJobCancellationWatcher|TRACE|  No newly aborted jobs found. |url: |action: 
2020-01-12 12:35:09.0326||Hangfire.Server.RecurringJobScheduler|DEBUG|  1 recurring job(s) enqueued. |url: |action: 
